Node1,Node2,Weight
BRCA1,PIK3R1,0.766
BRCA1,MYC,0.999
BRCA2,CCND1,0.861
BRCA2,CDKN1B,0.422
BRCA2,MLH1,0.954
BRCA2,MSH2,0.968
BRCA2,FOXA1,0.437
BRCA2,KRAS,0.721
BRCA2,PDGFRA,0.419
BRCA2,MDM2,0.702
BRCA2,BRIP1,0.998
BRCA2,PALB2,0.999
BRCA2,CDH1,0.479
BRCA2,KMT2C,0.582
BRCA2,CCNE1,0.588
BRCA2,PIK3CA,0.812
BRCA2,CDK6,0.49
BRCA2,PMS2,0.947
BRCA2,ERBB3,0.495
BRCA2,TP53,0.995
BRCA2,ERBB2,0.873
BRCA2,EGFR,0.678
BRCA2,CDKN2B,0.449
BRCA2,BUB1B,0.953
BRCA2,KIT,0.484
BRCA2,H2BC5,0.565
BRCA2,KMT2D,0.45
BRCA2,USH2A,0.479
BRCA2,ERCC4,0.852
BRCA2,STK11,0.83
BRCA2,SMAD3,0.652
BRCA2,MEN1,0.519
BRCA2,SMAD4,0.672
BRCA2,ERBB4,0.429
BRCA2,SMARCA4,0.68
BRCA2,NF2,0.435
BRCA2,RET,0.705
BRCA2,NF1,0.75
BRCA2,TGFBR2,0.431
BRCA2,H3C12,0.468
BRCA2,NEK2,0.445
BRCA2,ROS1,0.488
BRCA2,PRDM1,0.417
BRCA2,NRAS,0.521
BRCA2,FLNA,0.977
BRCA2,GNAS,0.447
BRCA2,PTEN,0.877
BRCA2,WT1,0.469
BRCA2,PIK3R1,0.418
BRCA2,IGF1R,0.418
BRCA2,HRAS,0.48
BRCA2,PBRM1,0.482
BRCA2,FGFR1,0.485
BRCA2,FBXW7,0.503
BRCA2,SPOP,0.506
BRCA2,CTNNB1,0.543
BRCA2,MAP2K4,0.562
BRCA2,NOTCH1,0.569
BRCA2,FGFR2,0.581
BRCA2,MAP3K1,0.648
BRCA2,CTCF,0.677
BRCA2,ESR1,0.723
BRCA2,MYC,0.759
BRCA2,CDKN2A,0.806
BRCA2,CHEK2,0.985
BRIP1,MLH1,0.999
BRIP1,MSH2,0.793
BRIP1,BUB1B,0.447
BRIP1,TP53,0.645
BRIP1,CHEK2,0.675
BRIP1,ERCC4,0.82
BRIP1,PMS2,0.993
BRIP1,PALB2,0.998
BUB1B,MSH2,0.548
BUB1B,MDM2,0.504
BUB1B,CDH1,0.406
BUB1B,CCNE1,0.467
BUB1B,EP300,0.435
BUB1B,DNMT3A,0.442
BUB1B,CDK6,0.527
BUB1B,DAXX,0.461
BUB1B,TP53,0.745
BUB1B,H2BC5,0.417
BUB1B,FBXW7,0.43
BUB1B,MYC,0.434
BUB1B,CDKN2A,0.523
BUB1B,CHEK2,0.604
BUB1B,H3C12,0.628
BUB1B,NEK2,0.999
CASP8,XBP1,0.503
CASP8,CCND1,0.687
CASP8,CDKN1B,0.621
CASP8,KRAS,0.48
CASP8,MDM2,0.75
CASP8,TRAF5,0.54
CASP8,CDH1,0.692
CASP8,PIK3C3,0.572
CASP8,CREBBP,0.544
CASP8,EP300,0.589
CASP8,PIK3CA,0.488
CASP8,MAP3K13,0.474
CASP8,CDK6,0.483
CASP8,DAXX,0.676
CASP8,RB1,0.508
CASP8,TP53,0.991
CASP8,ERBB2,0.538
CASP8,EGFR,0.737
CASP8,MET,0.587
CASP8,TBK1,0.683
CASP8,FOXO3,0.493
CASP8,MAP2K4,0.409
CASP8,TGFBR2,0.42
CASP8,H3C12,0.423
CASP8,IGF1R,0.441
CASP8,HRAS,0.465
CASP8,IRAK4,0.467
CASP8,CHEK2,0.485
CASP8,EPHA7,0.49
CASP8,NOTCH1,0.498
CASP8,MAP3K1,0.499
CASP8,CTSS,0.556
CASP8,CDKN2A,0.586
CASP8,PIK3R1,0.598
CASP8,RHOA,0.66
CASP8,ESR1,0.69
CASP8,CTNNB1,0.768
CASP8,PTEN,0.781
CASP8,TNFAIP3,0.789
CASP8,MYC,0.79
CASP8,MCL1,0.802
CASP8,FAS,0.999
CBFB,CCND1,0.552
CBFB,RARA,0.625
CBFB,KRAS,0.528
CBFB,KMT2C,0.51
CBFB,CREBBP,0.607
CBFB,EP300,0.8
CBFB,CDK6,0.821
CBFB,RB1,0.56
CBFB,TP53,0.594
CBFB,KIT,0.487
CBFB,H2BC5,0.499
CBFB,RUNX1,0.999
CBFB,KMT2D,0.504
CBFB,MYB,0.646
CBFB,SMAD4,0.581
CBFB,SMARCA4,0.579
CBFB,GATA2,0.813
CBFB,H3C12,0.581
CBFB,NRAS,0.422
CBFB,FLNA,0.882
CBFB,CCND3,0.56
CBFB,WT1,0.405
CBFB,GATA3,0.726
CBFB,SMARCD1,0.556
CBFB,ETV6,0.436
CBFB,PBRM1,0.541
CBFB,ESR1,0.567
CBFB,ERG,0.821
CBFB,FOXP1,0.445
CBFB,ITCH,0.515
CBFB,KMT2A,0.743
CBL,PDGFRA,0.919
CBL,MDM2,0.558
CBL,CDH1,0.688
CBL,PIK3CA,0.887
CBL,HRAS,0.455
CBL,NF1,0.511
CBL,NRAS,0.543
CBL,USP9X,0.588
CBL,NOTCH1,0.61
CBL,FGFR1,0.648
CBL,EPHB1,0.656
CBL,PTPN22,0.672
CBL,ITCH,0.683
CBL,PTEN,0.687
CBL,RET,0.706
CBL,NTRK1,0.715
CBL,PIK3CD,0.722
CBL,ERBB3,0.732
CBL,FGFR2,0.811
CBL,IGF1R,0.853
CBL,ERBB4,0.861
CBL,PIK3CB,0.89
CBL,CTNNB1,0.91
CBL,ERBB2,0.944
CBL,CBLB,0.948
CBL,PTPN11,0.951
CBL,KIT,0.957
CBL,TGFBR2,0.96
CBL,MET,0.999
CBL,EGFR,0.999
CBL,PIK3R1,0.999
CBLB,PDGFRA,0.674
CBLB,PIK3CA,0.904
CBLB,ERBB3,0.573
CBLB,ERBB2,0.595
CBLB,EGFR,0.995
CBLB,MET,0.5
CBLB,ERBB4,0.573
CBLB,DDR2,0.511
CBLB,PIK3CD,0.908
CBLB,FGFR2,0.674
CBLB,PIK3R1,0.974
CBLB,IGF1R,0.716
CBLB,PIK3CB,0.904
CCND1,XBP1,0.406
CCND1,ZNF217,0.4
CCND1,NCOR1,0.4
CCND1,TP63,0.401
CCND1,MYB,0.414
CCND1,MLH1,0.418
CCND1,MAP3K1,0.419
CCND1,MSH2,0.43
CCND1,WT1,0.446
CCND1,NF2,0.446
CCND1,MEN1,0.456
CCND1,MITF,0.458
CCND1,PTPN11,0.474
CCND1,PIK3R1,0.474
CCND1,RARA,0.475
CCND1,RET,0.484
CCND1,NTRK1,0.484
CCND1,TGFBR2,0.513
CCND1,PDGFRA,0.516
CCND1,FBXW7,0.517
CCND1,STK11,0.532
CCND1,ERBB4,0.534
CCND1,NOTCH3,0.536
CCND1,NF1,0.542
CCND1,NOTCH2,0.554
CCND1,FLNA,0.581
CCND1,KDM6A,0.582
CCND1,H2BC5,0.582
CCND1,RHOA,0.589
CCND1,SMARCD1,0.596
CCND1,SMAD3,0.596
CCND1,CHEK2,0.601
CCND1,ERBB3,0.606
CCND1,SMAD4,0.613
CCND1,FGFR1,0.627
CCND1,DNMT3B,0.629
CCND1,RPTOR,0.645
CCND1,NCOA2,0.653
CCND1,MET,0.655
CCND1,IGF1R,0.676
CCND1,FGFR2,0.679
CCND1,DICER1,0.682
CCND1,PIK3CA,0.704
CCND1,DNMT3A,0.708
CCND1,SMARCA4,0.718
CCND1,KLF6,0.728
CCND1,RUNX1,0.733
CCND1,HRAS,0.747
CCND1,KIT,0.749
CCND1,FOXO3,0.756
CCND1,PBRM1,0.756
CCND1,NCOA3,0.79
CCND1,NRAS,0.791
CCND1,H3C12,0.826
CCND1,FOXA1,0.832
CCND1,KRAS,0.835
CCND1,MCL1,0.837
CCND1,EGFR,0.841
CCND1,CCNE1,0.841
CCND1,GATA3,0.848
CCND1,CDH1,0.851
CCND1,PTEN,0.855
CCND1,NOTCH1,0.902
CCND1,ERBB2,0.904
CCND1,MDM2,0.926
CCND1,CCND3,0.939
CCND1,TP53,0.946
CCND1,MYC,0.969
CCND1,CTNNB1,0.972
CCND1,EP300,0.974
CCND1,CDKN2B,0.974
CCND1,CREBBP,0.986
CCND1,ESR1,0.997
CCND1,RB1,0.998
CCND1,CDKN2A,0.998
CCND1,CDKN1B,0.999
CCND1,CDK6,0.999
CCND3,CDKN1B,0.999
CCND3,RARA,0.63
CCND3,KRAS,0.453
CCND3,NOTCH2,0.414
CCND3,MDM2,0.46
CCND3,CREBBP,0.861
CCND3,CCNE1,0.629
CCND3,PIK3CA,0.43
CCND3,CDK6,0.999
CCND3,RB1,0.989
CCND3,TP53,0.638
CCND3,ERBB2,0.452
CCND3,EGFR,0.451
CCND3,CDKN2B,0.946
CCND3,KIT,0.593
CCND3,RUNX1,0.811
CCND3,RPTOR,0.531
CCND3,MCL1,0.515
CCND3,NRAS,0.442
CCND3,PTEN,0.533
CCND3,CTNNB1,0.451
CCND3,NOTCH1,0.506
CCND3,MYC,0.64
CCND3,CDKN2A,0.975
CCNE1,CDKN1B,0.999
CCNE1,MSH2,0.406
CCNE1,CCNI,0.44
CCNE1,KRAS,0.607
CCNE1,MDM2,0.585
CCNE1,CDH1,0.489
CCNE1,CREBBP,0.487
CCNE1,H3C12,0.4
CCNE1,NF2,0.41
CCNE1,SMAD4,0.411
CCNE1,NRAS,0.423
CCNE1,MCL1,0.435
CCNE1,STK11,0.45
CCNE1,FGFR2,0.457
CCNE1,RPTOR,0.468
CCNE1,ERBB3,0.472
CCNE1,FGFR1,0.488
CCNE1,NF1,0.51
CCNE1,ESR1,0.521
CCNE1,DICER1,0.559
CCNE1,HRAS,0.579
CCNE1,CDKN2B,0.596
CCNE1,CHEK2,0.602
CCNE1,PTEN,0.615
CCNE1,PIK3CA,0.631
CCNE1,NOTCH1,0.638
CCNE1,SPOP,0.647
CCNE1,IGF1R,0.66
CCNE1,ERBB2,0.675
CCNE1,CTNNB1,0.685
CCNE1,SMARCA4,0.695
CCNE1,EGFR,0.752
CCNE1,CDKN2A,0.814
CCNE1,MYC,0.908
CCNE1,TP53,0.926
CCNE1,RB1,0.994
CCNE1,FBXW7,0.998
CCNE1,CDK6,0.999
CCNI,GRIA2,0.46
CCNI,CDK6,0.528
CD3EAP,EP300,0.503
CD3EAP,H2BC5,0.4
CD3EAP,SF3B1,0.521
CD3EAP,H3C12,0.473
CDH1,CDKN1B,0.511
CDH1,MLH1,0.579
CDH1,MSH2,0.425
CDH1,FOXA1,0.566
CDH1,KRAS,0.723
CDH1,NOTCH2,0.515
CDH1,PDGFRA,0.468
CDH1,MDM2,0.925
CDH1,PTPRD,0.404
CDH1,FLNA,0.404
CDH1,FBXW7,0.416
CDH1,NRAS,0.426
CDH1,PTPN11,0.43
CDH1,FRMPD2,0.445
CDH1,CDKN2B,0.449
CDH1,MCL1,0.473
CDH1,RB1,0.474
CDH1,NOTCH3,0.477
CDH1,DNMT3A,0.478
CDH1,PAX2,0.479
CDH1,STK11,0.48
CDH1,FOXO3,0.48
CDH1,NTRK1,0.483
CDH1,DICER1,0.486
CDH1,FGFR2,0.496
CDH1,DDR2,0.5
CDH1,ERBB4,0.501
CDH1,DNMT3B,0.521
CDH1,HRAS,0.55
CDH1,GATA3,0.551
CDH1,SMARCA4,0.564
CDH1,PIK3CA,0.575
CDH1,WT1,0.579
CDH1,KIT,0.582
CDH1,ZNF217,0.588
CDH1,MEN1,0.597
CDH1,EP300,0.6
CDH1,H3C12,0.627
CDH1,TGFBR2,0.646
CDH1,NOTCH1,0.661
CDH1,CDK6,0.666
CDH1,CDKN2A,0.713
CDH1,SMAD3,0.724
CDH1,IGF1R,0.742
CDH1,CREBBP,0.744
CDH1,RHOA,0.751
CDH1,ESR1,0.803
CDH1,SMAD4,0.804
CDH1,MYC,0.804
CDH1,TP53,0.853
CDH1,ERBB3,0.856
CDH1,NF2,0.859
CDH1,FGFR1,0.885
CDH1,PTEN,0.93
CDH1,MET,0.959
CDH1,ERBB2,0.97
CDH1,CTNNB1,0.999
CDH1,CTNNA1,0.999
CDH1,EGFR,0.999
CDK6,CDKN1B,0.999
CDK6,MSH2,0.418
CDK6,KRAS,0.636
CDK6,NOTCH2,0.457
CDK6,MDM2,0.656
CDK6,PIK3CA,0.596
CDK6,DNMT3A,0.461
CDK6,MYB,0.401
CDK6,SMARCA4,0.424
CDK6,NF2,0.427
CDK6,RHOA,0.433
CDK6,PIK3R1,0.435
CDK6,MET,0.45
CDK6,DNMT3B,0.45
CDK6,DICER1,0.463
CDK6,SMAD4,0.465
CDK6,KDM6A,0.47
CDK6,FBXW7,0.484
CDK6,CHD8,0.502
CDK6,H3C12,0.515
CDK6,PIK3CB,0.516
CDK6,CHEK2,0.526
CDK6,PBRM1,0.526
CDK6,NF1,0.551
CDK6,MED23,0.553
CDK6,NRAS,0.564
CDK6,GATA2,0.573
CDK6,NOTCH1,0.578
CDK6,SMAD3,0.584
CDK6,ESR1,0.585
CDK6,MCL1,0.589
CDK6,MED12,0.654
CDK6,HRAS,0.67
CDK6,CTNNB1,0.752
CDK6,MYC,0.788
CDK6,PTEN,0.801
CDK6,FOXO3,0.802
CDK6,TP53,0.808
CDK6,RUNX1,0.929
CDK6,RB1,0.997
CDK6,CDKN2B,0.999
CDK6,CDKN2A,0.999
CDKN1B,MAP3K1,0.405
CDKN1B,MAP2K4,0.407
CDKN1B,ERBB3,0.417
CDKN1B,NF1,0.423
CDKN1B,RUNX1,0.428
CDKN1B,PIK3R1,0.435
CDKN1B,HRAS,0.445
CDKN1B,KIT,0.452
CDKN1B,GATA3,0.453
CDKN1B,NRAS,0.456
CDKN1B,STK11,0.461
CDKN1B,KMT2A,0.465
CDKN1B,SMAD3,0.47
CDKN1B,MITF,0.47
CDKN1B,H3C12,0.474
CDKN1B,NOTCH1,0.478
CDKN1B,DICER1,0.494
CDKN1B,TSC1,0.508
CDKN1B,KRAS,0.529
CDKN1B,MCL1,0.536
CDKN1B,DCAF4L2,0.54
CDKN1B,CHEK2,0.552
CDKN1B,ETV6,0.567
CDKN1B,PIK3CA,0.568
CDKN1B,ESR1,0.571
CDKN1B,SMAD4,0.572
CDKN1B,MDM2,0.587
CDKN1B,CTNNB1,0.587
CDKN1B,RET,0.595
CDKN1B,EP300,0.642
CDKN1B,IGF1R,0.732
CDKN1B,EGFR,0.736
CDKN1B,ERBB2,0.739
CDKN1B,MEN1,0.804
CDKN1B,RB1,0.818
CDKN1B,PTEN,0.834
CDKN1B,MYC,0.855
CDKN1B,CDKN2B,0.859
CDKN1B,CDKN2A,0.93
CDKN1B,RHOA,0.977
CDKN1B,FOXO3,0.98
CDKN1B,TP53,0.991
CDKN2A,STAG2,0.477
CDKN2A,MLH1,0.855
CDKN2A,MSH2,0.658
CDKN2A,FOXA1,0.453
CDKN2A,KRAS,0.992
CDKN2A,NOTCH2,0.56
CDKN2A,PDGFRA,0.73
CDKN2A,TBX3,0.413
CDKN2A,MDM2,0.999
CDKN2A,PALB2,0.664
CDKN2A,KMT2C,0.599
CDKN2A,CREBBP,0.751
CDKN2A,EP300,0.859
CDKN2A,NOTCH3,0.467
CDKN2A,PIK3CA,0.791
CDKN2A,DNMT3A,0.637
CDKN2A,TP63,0.741
CDKN2A,PMS2,0.598
CDKN2A,DAXX,0.626
CDKN2A,ERBB3,0.659
CDKN2A,RB1,0.843
CDKN2A,NCOR1,0.404
CDKN2A,TP53,0.999
CDKN2A,ERBB2,0.773
CDKN2A,EGFR,0.91
CDKN2A,CDKN2B,0.951
CDKN2A,KIT,0.669
CDKN2A,H2BC5,0.6
CDKN2A,TSC1,0.426
CDKN2A,RUNX1,0.698
CDKN2A,KMT2D,0.599
CDKN2A,CTNNA1,0.48
CDKN2A,MET,0.562
CDKN2A,STK11,0.824
CDKN2A,DNMT3B,0.727
CDKN2A,PHF6,0.436
CDKN2A,SMAD3,0.806
CDKN2A,MEN1,0.564
CDKN2A,FOXO3,0.76
CDKN2A,SMAD4,0.851
CDKN2A,ERBB4,0.56
CDKN2A,SMARCA4,0.811
CDKN2A,NF2,0.67
CDKN2A,RET,0.596
CDKN2A,NF1,0.772
CDKN2A,TGFBR2,0.534
CDKN2A,H3C12,0.828
CDKN2A,NTRK3,0.41
CDKN2A,ROS1,0.567
CDKN2A,MCL1,0.544
CDKN2A,NRAS,0.984
CDKN2A,GNAS,0.622
CDKN2A,ZNF217,0.402
CDKN2A,PTEN,0.923
CDKN2A,MED12,0.412
CDKN2A,KDM6A,0.618
CDKN2A,WT1,0.623
CDKN2A,GATA3,0.646
CDKN2A,PTPRD,0.486
CDKN2A,CHEK2,0.758
CDKN2A,ETV6,0.601
CDKN2A,PBRM1,0.575
CDKN2A,SETD2,0.612
CDKN2A,MITF,0.588
CDKN2A,FGFR1,0.61
CDKN2A,RHOA,0.605
CDKN2A,ESR1,0.667
CDKN2A,HRAS,0.99
CDKN2A,FGFR2,0.592
CDKN2A,MAP2K4,0.421
CDKN2A,DICER1,0.456
CDKN2A,PIK3CB,0.457
CDKN2A,NTRK1,0.508
CDKN2A,KMT2A,0.513
CDKN2A,PIK3R1,0.525
CDKN2A,TET2,0.556
CDKN2A,IGF1R,0.639
CDKN2A,FBXW7,0.663
CDKN2A,PTPN11,0.665
CDKN2A,NOTCH1,0.723
CDKN2A,CTCF,0.794
CDKN2A,CTNNB1,0.93
CDKN2A,MYC,0.998
CDKN2B,MLH1,0.512
CDKN2B,KRAS,0.554
CDKN2B,NOTCH2,0.401
CDKN2B,PDGFRA,0.553
CDKN2B,MDM2,0.72
CDKN2B,EP300,0.431
CDKN2B,PIK3CA,0.507
CDKN2B,DNMT3A,0.5
CDKN2B,RB1,0.51
CDKN2B,TP53,0.86
CDKN2B,ERBB2,0.536
CDKN2B,EGFR,0.596
CDKN2B,CTNNA1,0.403
CDKN2B,MET,0.403
CDKN2B,TET2,0.415
CDKN2B,ESR1,0.421
CDKN2B,SETD2,0.424
CDKN2B,RUNX1,0.425
CDKN2B,KDM6A,0.432
CDKN2B,DNMT3B,0.45
CDKN2B,CTNNB1,0.453
CDKN2B,TGFBR2,0.46
CDKN2B,IGF1R,0.468
CDKN2B,H3C12,0.472
CDKN2B,STK11,0.476
CDKN2B,ETV6,0.48
CDKN2B,NRAS,0.496
CDKN2B,NF2,0.527
CDKN2B,CHD8,0.53
CDKN2B,NF1,0.549
CDKN2B,HRAS,0.61
CDKN2B,PTEN,0.626
CDKN2B,SMAD3,0.745
CDKN2B,SMAD4,0.812
CDKN2B,MYC,0.966
CHD8,KMT2C,0.521
CHD8,CREBBP,0.495
CHD8,EP300,0.597
CHD8,TP53,0.52
CHD8,KMT2D,0.461
CHD8,DNMT3B,0.852
CHD8,MEN1,0.575
CHD8,SMARCA4,0.6
CHD8,H3C12,0.628
CHD8,PTEN,0.437
CHD8,MED12,0.439
CHD8,KDM6A,0.46
CHD8,PBRM1,0.629
CHD8,SETD2,0.681
CHD8,TBL1XR1,0.43
CHD8,KMT2A,0.946
CHD8,FOXP1,0.463
CHD8,CTCF,0.944
CHD8,CTNNB1,0.993
CHEK2,MLH1,0.834
CHEK2,MSH2,0.934
CHEK2,KRAS,0.536
CHEK2,MDM2,0.983
CHEK2,PALB2,0.921
CHEK2,EP300,0.4
CHEK2,PIK3CA,0.516
CHEK2,TP63,0.592
CHEK2,PMS2,0.734
CHEK2,DAXX,0.408
CHEK2,RB1,0.631
CHEK2,TP53,0.999
CHEK2,ERBB2,0.423
CHEK2,H2BC5,0.636
CHEK2,KMT2D,0.418
CHEK2,USH2A,0.433
CHEK2,ERCC4,0.76
CHEK2,MEN1,0.459
CHEK2,FOXO3,0.625
CHEK2,SMAD4,0.472
CHEK2,SMARCA4,0.415
CHEK2,NF2,0.417
CHEK2,NF1,0.612
CHEK2,H3C12,0.748
CHEK2,MCL1,0.418
CHEK2,NRAS,0.445
CHEK2,PTEN,0.81
CHEK2,NOTCH1,0.4
CHEK2,HRAS,0.426
CHEK2,CTNNB1,0.447
CHEK2,ESR1,0.538
CHEK2,MYC,0.616
CIC,ERBB2,0.429
CIC,EGFR,0.62
CIC,ERBB4,0.484
CNOT3,TP53,0.782
CNOT3,PHF6,0.457
CNOT3,SMARCA4,0.454
CNOT3,ESR1,0.437
CNOT3,MYC,0.523
CREBBP,STAG2,0.431
CREBBP,RARA,0.889
CREBBP,KRAS,0.502
CREBBP,NOTCH2,0.818
CREBBP,MDM2,0.909
CREBBP,KMT2C,0.822
CREBBP,TNFAIP3,0.446
CREBBP,NRAS,0.454
CREBBP,RPTOR,0.467
CREBBP,ETV6,0.472
CREBBP,PHF6,0.484
CREBBP,CUX1,0.485
CREBBP,ZMYM3,0.522
CREBBP,DNMT3A,0.525
CREBBP,TET2,0.532
CREBBP,RB1,0.545
CREBBP,NF1,0.547
CREBBP,PTEN,0.552
CREBBP,GATA2,0.555
CREBBP,SPEN,0.563
CREBBP,IGF1R,0.579
CREBBP,H2BC5,0.581
CREBBP,ZNF217,0.6
CREBBP,PIK3R1,0.604
CREBBP,MED23,0.621
CREBBP,ERBB2,0.625
CREBBP,CTCF,0.653
CREBBP,EGFR,0.653
CREBBP,NOTCH3,0.67
CREBBP,PIK3CA,0.697
CREBBP,TBL1XR1,0.706
CREBBP,FBXW7,0.728
CREBBP,MED12,0.738
CREBBP,NOTCH1,0.783
CREBBP,GATA3,0.801
CREBBP,SETD2,0.805
CREBBP,KDM6A,0.811
CREBBP,DAXX,0.842
CREBBP,KMT2D,0.87
CREBBP,SMAD4,0.917
CREBBP,FGFR1,0.923
CREBBP,SMARCA4,0.944
CREBBP,MYC,0.945
CREBBP,NCOR1,0.947
CREBBP,RUNX1,0.977
CREBBP,H3C12,0.984
CREBBP,ESR1,0.993
CREBBP,FOXO3,0.995
CREBBP,KMT2A,0.995
CREBBP,SMAD3,0.995
CREBBP,NCOA2,0.997
CREBBP,MYB,0.999
CREBBP,CTNNB1,0.999
CREBBP,NCOA3,0.999
CREBBP,TP53,0.999
CREBBP,EP300,0.999
CTCF,STAG2,0.983
CTCF,FOXA1,0.772
CTCF,RARA,0.652
CTCF,KRAS,0.461
CTCF,KMT2C,0.697
CTCF,EP300,0.959
CTCF,DNMT3A,0.604
CTCF,NCOR1,0.898
CTCF,TP53,0.83
CTCF,H2BC5,0.609
CTCF,RUNX1,0.564
CTCF,KMT2D,0.673
CTCF,DNMT3B,0.529
CTCF,SMAD3,0.702
CTCF,SMAD4,0.654
CTCF,SMARCA4,0.738
CTCF,GATA2,0.545
CTCF,NF1,0.647
CTCF,H3C12,0.852
CTCF,PTEN,0.409
CTCF,NCOA3,0.846
CTCF,MED12,0.551
CTCF,KDM6A,0.721
CTCF,GATA3,0.651
CTCF,PBRM1,0.401
CTCF,SETD2,0.465
CTCF,FGFR1,0.486
CTCF,ESR1,0.717
CTCF,KMT2A,0.426
CTCF,TET2,0.515
CTCF,FBXW7,0.482
CTCF,MYC,0.763
CTCF,CTNNB1,0.453
CTNNA1,TP53,0.561
CTNNA1,EGFR,0.826
CTNNA1,PTPN11,0.435
CTNNA1,RHOA,0.523
CTNNA1,MEN1,0.578
CTNNA1,CTNNB1,0.999
CTNNB1,MLH1,0.623
CTNNB1,MSH2,0.57
CTNNB1,FOXA1,0.676
CTNNB1,RARA,0.883
CTNNB1,KRAS,0.885
CTNNB1,NOTCH2,0.647
CTNNB1,PDGFRA,0.756
CTNNB1,TBX3,0.499
CTNNB1,MDM2,0.823
CTNNB1,KMT2C,0.447
CTNNB1,EP300,0.999
CTNNB1,NOTCH3,0.603
CTNNB1,PIK3CA,0.901
CTNNB1,DNMT3A,0.506
CTNNB1,TP63,0.477
CTNNB1,PMS2,0.481
CTNNB1,DAXX,0.693
CTNNB1,ERBB3,0.707
CTNNB1,RB1,0.474
CTNNB1,NCOR1,0.438
CTNNB1,TP53,0.927
CTNNB1,ERBB2,0.998
CTNNB1,EGFR,0.998
CTNNB1,KIT,0.687
CTNNB1,H2BC5,0.6
CTNNB1,GRIA2,0.615
CTNNB1,RUNX1,0.546
CTNNB1,KMT2D,0.936
CTNNB1,RPTOR,0.409
CTNNB1,USP9X,0.88
CTNNB1,MET,0.985
CTNNB1,STK11,0.611
CTNNB1,DNMT3B,0.454
CTNNB1,SMAD3,0.999
CTNNB1,MEN1,0.978
CTNNB1,FOXO3,0.998
CTNNB1,MYB,0.463
CTNNB1,SMAD4,0.998
CTNNB1,ERBB4,0.633
CTNNB1,SMARCA4,0.998
CTNNB1,NF2,0.889
CTNNB1,GATA2,0.411
CTNNB1,RET,0.731
CTNNB1,NF1,0.555
CTNNB1,TGFBR2,0.802
CTNNB1,H3C12,0.834
CTNNB1,CUX1,0.656
CTNNB1,NTRK3,0.444
CTNNB1,NEK2,0.703
CTNNB1,SYNE1,0.574
CTNNB1,DDR2,0.475
CTNNB1,ROS1,0.443
CTNNB1,HRNR,0.47
CTNNB1,MCL1,0.749
CTNNB1,PRDM1,0.587
CTNNB1,EPHA7,0.555
CTNNB1,NRAS,0.719
CTNNB1,FLNA,0.453
CTNNB1,PAX2,0.447
CTNNB1,RBMX,0.651
CTNNB1,GNAS,0.623
CTNNB1,PTEN,0.943
CTNNB1,MED12,0.854
CTNNB1,KDM6A,0.491
CTNNB1,WT1,0.626
CTNNB1,GATA3,0.531
CTNNB1,SPOP,0.407
CTNNB1,MAP3K1,0.401
CTNNB1,MITF,0.813
CTNNB1,FGFR1,0.947
CTNNB1,NCOA2,0.507
CTNNB1,RHOA,0.882
CTNNB1,ESR1,0.965
CTNNB1,TBL1XR1,0.997
CTNNB1,HRAS,0.865
CTNNB1,FGFR2,0.636
CTNNB1,MAP2K4,0.414
CTNNB1,KLF6,0.443
CTNNB1,PIK3R1,0.858
CTNNB1,NTRK1,0.745
CTNNB1,KMT2A,0.671
CTNNB1,DICER1,0.593
CTNNB1,FBXW7,0.924
CTNNB1,MYC,0.985
CTNNB1,TNFAIP3,0.468
CTNNB1,FOXP1,0.496
CTNNB1,PTPN11,0.902
CTNNB1,ITCH,0.483
CTNNB1,FAS,0.576
CTNNB1,NOTCH1,0.976
CTNNB1,IGF1R,0.985
CTSS,TP53,0.433
CTSS,HLA-DRB1,0.628
CTSS,MCL1,0.478
CTSS,MYC,0.547
CUX1,STAG2,0.461
CUX1,PIK3CA,0.565
CUX1,RB1,0.739
CUX1,TP53,0.444
CUX1,H2BC5,0.428
CUX1,RUNX1,0.447
CUX1,PHF6,0.49
CUX1,GATA2,0.441
CUX1,H3C12,0.429
CUX1,NRAS,0.422
CUX1,ETV6,0.461
CUX1,TET2,0.466
CUX1,GNAS,0.476
CUX1,PIK3R1,0.55
CUX1,FOXP1,0.614
CUX1,FGFR1,0.637
DAXX,RARA,0.41
DAXX,KRAS,0.435
DAXX,MDM2,0.995
DAXX,PIK3CA,0.416
DAXX,DNMT3A,0.53
DAXX,TP63,0.573
DAXX,MED12,0.413
DAXX,SETD2,0.431
DAXX,NF1,0.435
DAXX,TBL1XR1,0.441
DAXX,GPS2,0.448
DAXX,NCOR1,0.513
DAXX,SMARCA4,0.514
DAXX,RB1,0.519
DAXX,H2BC5,0.581
DAXX,MYC,0.681
DAXX,PTEN,0.778
DAXX,MEN1,0.876
DAXX,H3C12,0.918
DAXX,SMAD4,0.938
DAXX,SPOP,0.974
DAXX,TGFBR2,0.981
DAXX,TP53,0.999
DAXX,FAS,0.999
DDR2,KRAS,0.597
DDR2,PDGFRA,0.455
DDR2,PIK3CA,0.642
DDR2,ERBB3,0.443
DDR2,TP53,0.479
DDR2,EGFR,0.556
DDR2,SMAD4,0.447
DDR2,TGFBR2,0.447
DDR2,HRAS,0.446
DDR2,NOTCH1,0.472
DDR2,FBXW7,0.479
DDR2,PTEN,0.512
DDR2,NTRK1,0.545
DDR2,NRAS,0.582
DICER1,KRAS,0.599
DICER1,MDM2,0.459
